cryptocurrency,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,var_5,var_1,expected_shortfall_5,expected_shortfall_1,skewness,kurtosis,data_points
XTZ,-74.6804,-11.957703399389363,88.86474641087342,-0.15706682304425626,-0.24132975476818994,-0.12654874994764825,-94.49088516746413,-8.19755063410718,-14.043471994759246,-11.951867826757022,-18.463068356134418,0.923411784821469,10.108508643386322,2717
TRX,11411.647058823528,49.261327973656165,106.36446492034423,0.44433381025373386,0.7314951514599523,0.5087166763005962,-96.83450586264657,-7.346597501877013,-16.220186791023764,-12.562152731609979,-21.869340047629056,4.799521681927808,61.58787253148958,2985
DOGE,39362.92517006803,54.71229387372556,133.4912809760938,0.39487443290895907,0.8243194350390459,0.5925848726868796,-92.32819870283019,-8.009433962264156,-14.99846259607946,-12.767121109848153,-21.898038185699818,10.53034699511159,271.13735806938394,3451
RSR,-66.46624181201169,-19.100517398269368,116.25768532758049,-0.18149782819788834,-0.330875095760118,-0.20948402182412937,-91.17887479888587,-9.064291791502937,-15.037905376787561,-12.996029634044815,-21.342358044391055,4.320099008473571,66.19246779681289,1298
DYDX,-92.26690842021351,-38.906765281650635,93.52502082868436,-0.43738846481073895,-0.61999696551073,-0.40252828020142756,-96.65597970453518,-8.267961002431838,-14.615727127273214,-13.110803238182141,-21.7311169696591,-0.16918227924166312,7.469759678608467,1308
DOT,-42.78660804869801,-7.006859750338235,87.35233419852152,-0.10310954862257911,-0.1605287600333752,-0.07233959637415226,-96.86064204861756,-7.4379889635638685,-12.409911879486103,-11.427263238216932,-18.714421933116313,1.004502762171531,11.120885628262716,1936
DASH,7810.495384615385,29.52906689622463,253.8558675574945,0.10844368956722938,0.2505297119273324,0.2990086636867757,-98.75655953286218,-8.751947378941427,-20.696079793134263,-17.91633221985201,-40.729207513063855,15.31828820686645,361.05084512555254,4256
XDC,5782.032520325203,70.7066635004472,98.45180755773751,0.6978710214147553,1.4943018470702019,0.798082146995946,-88.5957213384531,-6.691752489009783,-11.896688053803409,-9.817675660829076,-15.20113697707175,3.857301165716911,33.66654452375946,1919
APE,-97.99043033169835,-51.33854874409509,97.90551751131112,-0.5447961473461681,-0.7809170157722991,-0.5166901146729836,-99.36042375532494,-8.797435910414098,-17.07822748458027,-13.809225483141374,-23.48307193144394,1.0141286362859834,15.571898334490031,1366
DAI,3.1484882451145335,0.37268552223619356,5.2120846931298574,-0.31221950017596584,-0.3212598942413237,0.04814509226011825,-7.740882917466409,-0.21796472237733067,-0.6081099101785197,-0.5987701586769344,-1.5133243179053073,0.8233689449810255,189.78328230266848,2099
